date,type,code,industry,roc,ey,days,entry_date,entry_price,exit_date,final_close,max_high,max_ret_pct,final_ret_pct,bars_held
20250930,Magic_Top20,688021,汽车配件,0.0,0.0,120,20250930,19.0,20260407,23.88,32.27,69.84,25.68,120
20250930,Magic_Top20,688053,元器件,0.0,0.0,120,20250930,28.57,20260407,34.5,54.8,91.81,20.76,120
20250930,Magic_Top20,688237,航空,0.0,0.0,120,20250930,56.7,20260414,54.36,62.48,10.19,-4.13,120
20250930,Magic_Top20,688772,电气设备,0.0,0.0,120,20250930,23.79,20260407,14.91,29.18,22.66,-37.33,120
20250930,Magic_Top20,002197,IT设备,0.1,0.0,120,20250930,9.66,20260408,7.96,11.37,17.7,-17.6,120
20250930,Magic_Top20,002456,元器件,0.1,0.0,120,20250930,13.09,20260407,8.65,13.78,5.27,-33.92,120
20250930,Magic_Top20,002470,农药化肥,0.1,0.0,120,20250930,1.72,20260407,3.0,3.82,122.09,74.42,120
20250930,Magic_Top20,002679,林业,0.1,0.0,120,20250930,10.53,20260407,10.8,16.92,60.68,2.56,120
20250930,Magic_Top20,300061,互联网,0.1,0.0,120,20250930,12.12,20260407,7.79,12.26,1.16,-35.73,120
20250930,Magic_Top20,300834,化工原料,0.1,0.0,120,20250930,22.9,20260407,46.0,52.19,127.9,100.87,120
20250930,Magic_Top20,301246,化学制药,0.1,0.0,120,20250930,14.59,20260407,22.53,28.79,97.33,54.42,120
20250930,Magic_Top20,301487,化工原料,0.1,0.0,120,20250930,27.75,20260407,19.9,29.14,5.01,-28.29,120
20250930,Magic_Top20,600246,区域地产,0.1,0.0,120,20250930,12.23,20260407,8.92,14.9,21.83,-27.06,120
20260430,EY_Top20,000656,全国地产,850.1,231.6,60,20260430,1.4,20260730,1.19,1.53,9.29,-15.0,60
20260430,EY_Top20,000404,家用电器,126.3,40.7,60,20260430,8.28,20260729,7.74,10.01,20.89,-6.52,60
20260430,EY_Top20,002758,批发业,83.3,37.7,60,20260430,9.16,20260729,7.87,9.24,0.87,-14.08,60
20260430,EY_Top20,600710,商贸代理,54.4,37.0,60,20260430,12.22,20260729,11.08,12.99,6.3,-9.33,60
20260430,EY_Top20,002091,商贸代理,57.4,34.3,60,20260430,8.95,20260729,7.74,9.8,9.5,-13.52,60
20260430,EY_Top20,000913,摩托车,129.9,33.2,60,20260430,13.5,20260729,11.36,13.64,1.04,-15.85,60
20260430,EY_Top20,600582,专用机械,46.6,29.2,60,20260430,5.69,20260729,4.92,5.81,2.11,-13.53,60
20260430,EY_Top20,601117,建筑工程,72.6,29.0,60,20260430,8.6,20260729,7.75,8.64,0.47,-9.88,60
20260430,EY_Top20,600380,化学制药,38.9,28.2,60,20260430,10.93,20260729,10.2,11.15,2.01,-6.68,60
20260430,EY_Top20,601919,水运,42.4,28.1,60,20260430,14.12,20260729,15.55,15.62,10.62,10.13,60
20260430,EY_Top20,000915,化学制药,160.6,24.8,60,20260430,28.96,20260729,25.52,29.57,2.11,-11.88,60
20260430,EY_Top20,600511,医药商业,43.3,24.1,60,20260430,28.66,20260729,27.75,28.73,0.24,-3.18,60
20260430,EY_Top20,600741,汽车配件,52.9,23.3,60,20260430,18.66,20260729,16.57,18.71,0.27,-11.2,60
20260430,EY_Top20,600612,服饰,40.9,23.0,60,20260430,39.41,20260729,35.54,39.64,0.58,-9.82,60
20260430,EY_Top20,002483,专用机械,45.4,22.1,60,20260430,6.54,20260729,5.14,6.61,1.07,-21.41,60
20260430,EY_Top20,601518,路桥,17.8,21.2,60,20260430,2.93,20260729,2.78,3.23,10.24,-5.12,60
20260430,EY_Top20,002582,食品,85.5,21.1,60,20260430,12.55,20260729,10.33,12.95,3.19,-17.69,60
20260430,EY_Top20,002244,区域地产,21.5,20.2,60,20260430,9.55,20260729,9.45,12.04,26.07,-1.05,60
20260430,EY_Top20,600033,路桥,14.2,20.2,60,20260430,3.64,20260729,3.62,3.69,1.37,-0.55,60
20260430,EY_Top20,601001,煤炭开采,74.1,19.8,60,20260430,19.33,20260729,16.37,23.9,23.64,-15.31,60
20260430,EY_Top20,000656,全国地产,850.1,231.6,90,20260430,1.4,20260909,1.25,1.53,9.29,-10.71,89
20260430,EY_Top20,000404,家用电器,126.3,40.7,90,20260430,8.28,20260909,7.12,10.01,20.89,-14.01,90
20260430,EY_Top20,002758,批发业,83.3,37.7,90,20260430,9.16,20260909,9.27,9.51,3.82,1.2,90
20260430,EY_Top20,600710,商贸代理,54.4,37.0,90,20260430,12.22,20260909,11.2,12.99,6.3,-8.35,90
20260430,EY_Top20,002091,商贸代理,57.4,34.3,90,20260430,8.95,20260909,7.68,9.8,9.5,-14.19,90
20260430,EY_Top20,000913,摩托车,129.9,33.2,90,20260430,13.5,20260909,11.12,13.64,1.04,-17.63,90
20260430,EY_Top20,600582,专用机械,46.6,29.2,90,20260430,5.69,20260909,4.78,5.81,2.11,-15.99,90
20260430,EY_Top20,601117,建筑工程,72.6,29.0,90,20260430,8.6,20260909,7.42,8.64,0.47,-13.72,90
20260430,EY_Top20,600380,化学制药,38.9,28.2,90,20260430,10.93,20260909,9.44,11.15,2.01,-13.63,90
20260430,EY_Top20,601919,水运,42.4,28.1,90,20260430,14.12,20260909,16.54,17.52,24.08,17.14,90
20260430,EY_Top20,000915,化学制药,160.6,24.8,90,20260430,28.96,20260909,26.44,29.57,2.11,-8.7,90
20260430,EY_Top20,600511,医药商业,43.3,24.1,90,20260430,28.66,20260909,26.89,28.73,0.24,-6.18,90
20260430,EY_Top20,600741,汽车配件,52.9,23.3,90,20260430,18.66,20260909,15.49,18.71,0.27,-16.99,90
20260430,EY_Top20,600612,服饰,40.9,23.0,90,20260430,39.41,20260909,35.0,39.64,0.58,-11.19,90
20260430,EY_Top20,002483,专用机械,45.4,22.1,90,20260430,6.54,20260909,6.47,6.62,1.22,-1.07,90
20260430,EY_Top20,601518,路桥,17.8,21.2,90,20260430,2.93,20260909,2.88,3.23,10.24,-1.71,90
20260430,EY_Top20,002582,食品,85.5,21.1,90,20260430,12.55,20260909,10.75,12.95,3.19,-14.34,90
20260430,EY_Top20,002244,区域地产,21.5,20.2,90,20260430,9.55,20260909,8.4,12.04,26.07,-12.04,90
20260430,EY_Top20,600033,路桥,14.2,20.2,90,20260430,3.64,20260909,3.66,3.7,1.65,0.55,90
20260430,EY_Top20,601001,煤炭开采,74.1,19.8,90,20260430,19.33,20260909,17.6,23.9,23.64,-8.95,90
20260430,EY_Top20,000656,全国地产,850.1,231.6,120,20260430,1.4,20260909,1.25,1.53,9.29,-10.71,89
