date,type,code,industry,roc,ey,days,entry_date,entry_price,exit_date,final_close,max_high,max_ret_pct,final_ret_pct,bars_held
20250930,EY_Top20,600668,水泥,20.6,12.7,90,20250930,11.65,20260213,11.43,12.42,6.61,-1.89,90
20250930,EY_Top20,600482,船舶,10.9,11.7,90,20250930,22.22,20260213,31.26,32.8,47.61,40.68,90
20250930,EY_Top20,002091,商贸代理,23.5,11.4,90,20250930,9.14,20260213,8.65,11.1,21.44,-5.36,90
20250930,EY_Top20,600033,路桥,7.8,11.3,90,20250930,3.36,20260213,3.72,5.01,49.11,10.71,90
20250930,EY_Top20,600612,服饰,29.9,11.1,90,20250930,50.08,20260213,44.28,52.16,4.15,-11.58,90
20250930,EY_Top20,600050,电信运营,8.1,10.9,90,20250930,5.5,20260213,4.8,5.6,1.82,-12.73,90
20250930,EY_Top20,601083,水运,47.0,10.7,90,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
20250930,EY_Top20,600998,医药商业,10.0,10.4,90,20250930,4.85,20260213,5.15,5.84,20.41,6.19,90
20250930,EY_Top20,002763,服饰,19.5,10.1,90,20250930,7.01,20260213,8.07,9.17,30.81,15.12,90
20250930,EY_Top20,601518,路桥,8.2,10.1,90,20250930,2.7,20260213,2.88,3.18,17.78,6.67,90
20250930,EY_Top20,000404,家用电器,1191.6,32.6,120,20250930,7.11,20260407,6.98,7.58,6.61,-1.83,120
20250930,EY_Top20,600710,商贸代理,55.2,24.4,120,20250930,10.5,20260407,12.58,15.21,44.86,19.81,120
20250930,EY_Top20,600582,专用机械,31.5,19.7,120,20250930,5.93,20260407,5.7,6.33,6.75,-3.88,120
20250930,EY_Top20,601919,水运,28.8,17.3,120,20250930,14.34,20260407,15.1,16.98,18.41,5.3,120
20250930,EY_Top20,601001,煤炭开采,36.0,17.0,120,20250930,13.76,20260407,16.83,19.13,39.03,22.31,120
20250930,EY_Top20,601117,建筑工程,23.4,16.0,120,20250930,7.44,20260407,9.21,10.48,40.86,23.79,120
20250930,EY_Top20,600219,铝,10.9,15.8,120,20250930,3.96,20260407,6.09,8.45,113.38,53.79,120
20250930,EY_Top20,600380,化学制药,23.1,14.1,120,20250930,12.48,20260407,11.19,12.85,2.96,-10.34,120
20250930,EY_Top20,000915,化学制药,74.0,14.0,120,20250930,31.3,20260407,30.97,36.16,15.53,-1.05,120
20250930,EY_Top20,600694,百货,14.5,12.9,120,20250930,17.76,20260407,16.49,20.3,14.3,-7.15,120
20250930,EY_Top20,600668,水泥,20.6,12.7,120,20250930,11.65,20260407,10.68,12.42,6.61,-8.33,120
20250930,EY_Top20,600482,船舶,10.9,11.7,120,20250930,22.22,20260407,32.45,39.26,76.69,46.04,120
20250930,EY_Top20,002091,商贸代理,23.5,11.4,120,20250930,9.14,20260407,8.97,11.1,21.44,-1.86,120
20250930,EY_Top20,600033,路桥,7.8,11.3,120,20250930,3.36,20260407,3.7,5.01,49.11,10.12,120
20250930,EY_Top20,600612,服饰,29.9,11.1,120,20250930,50.08,20260407,41.51,52.16,4.15,-17.11,120
20250930,EY_Top20,600050,电信运营,8.1,10.9,120,20250930,5.5,20260407,4.47,5.6,1.82,-18.73,120
20250930,EY_Top20,601083,水运,47.0,10.7,120,20250930,11.47,20260407,12.98,13.81,20.4,13.16,120
20250930,EY_Top20,600998,医药商业,10.0,10.4,120,20250930,4.85,20260407,5.36,5.84,20.41,10.52,120
20250930,EY_Top20,002763,服饰,19.5,10.1,120,20250930,7.01,20260407,7.94,9.17,30.81,13.27,120
20250930,EY_Top20,601518,路桥,8.2,10.1,120,20250930,2.7,20260407,2.89,3.18,17.78,7.04,120
20250930,ROC_Top20,002602,互联网,3226.5,2.3,60,20250930,20.71,20260105,18.45,21.39,3.28,-10.91,60
20250930,ROC_Top20,301338,专用机械,2537.2,1.1,60,20250930,67.18,20251231,88.11,92.5,37.69,31.16,60
20250930,ROC_Top20,300972,食品,1946.0,3.8,60,20250930,181.5,20251231,201.07,209.4,15.37,10.78,60
20250930,ROC_Top20,000404,家用电器,1191.6,32.6,60,20250930,7.11,20251231,6.77,7.37,3.66,-4.78,60
20250930,ROC_Top20,002941,建筑工程,1180.2,2.2,60,20250930,16.12,20251231,15.85,21.61,34.06,-1.67,60
20250930,ROC_Top20,603883,医药商业,920.7,4.4,60,20250930,16.39,20251231,14.8,17.96,9.58,-9.7,60
20250930,ROC_Top20,000913,摩托车,910.4,6.3,60,20250930,17.07,20251231,15.42,18.24,6.85,-9.67,60
20250930,ROC_Top20,600012,路桥,816.7,4.4,60,20250930,13.33,20251231,14.82,15.9,19.28,11.18,60
20250930,ROC_Top20,603103,影视音像,757.7,2.1,60,20250930,18.36,20251231,16.58,17.64,-3.92,-9.69,60
20250930,ROC_Top20,002555,互联网,460.4,3.4,60,20250930,21.71,20251231,23.6,24.35,12.16,8.71,60
20250930,ROC_Top20,002052,家用电器,436.5,1.8,60,20250930,15.54,20251231,12.75,17.69,13.84,-17.95,60
20250930,ROC_Top20,600598,种植业,424.6,3.9,60,20250930,14.37,20251231,14.95,15.5,7.86,4.04,60
20250930,ROC_Top20,605499,软饮料,372.7,1.9,60,20250930,303.8,20251231,267.39,313.38,3.15,-11.98,60
20250930,ROC_Top20,002027,广告包装,337.3,2.8,60,20250930,8.06,20251231,7.37,8.08,0.25,-8.56,60
20250930,ROC_Top20,600825,出版业,269.7,0.6,60,20250930,6.76,20251231,6.18,7.2,6.51,-8.58,60
20250930,ROC_Top20,600684,区域地产,265.8,0.7,60,20250930,6.32,20251231,4.36,6.55,3.64,-31.01,60
20250930,ROC_Top20,002489,家居用品,259.0,9.5,60,20250930,3.68,20251231,3.83,4.19,13.86,4.08,60
20250930,ROC_Top20,688253,医疗保健,248.9,3.5,60,20250930,30.75,20251231,30.18,36.4,18.37,-1.85,60
20250930,ROC_Top20,301551,影视音像,241.5,0.9,60,20250930,36.65,20251231,31.55,43.0,17.33,-13.92,60
20250930,ROC_Top20,600754,酒店餐饮,238.4,2.1,60,20250930,23.05,20251231,25.27,27.45,19.09,9.63,60
20250930,ROC_Top20,002602,互联网,3226.5,2.3,90,20250930,20.71,20260224,18.93,21.39,3.28,-8.59,90
20250930,ROC_Top20,301338,专用机械,2537.2,1.1,90,20250930,67.18,20260213,125.44,138.0,105.42,86.72,90
20250930,ROC_Top20,300972,食品,1946.0,3.8,90,20250930,181.5,20260213,208.0,240.89,32.72,14.6,90
20250930,ROC_Top20,000404,家用电器,1191.6,32.6,90,20250930,7.11,20260213,7.09,7.37,3.66,-0.28,90
20250930,ROC_Top20,002941,建筑工程,1180.2,2.2,90,20250930,16.12,20260213,15.88,21.61,34.06,-1.49,90
20250930,ROC_Top20,603883,医药商业,920.7,4.4,90,20250930,16.39,20260213,14.9,17.96,9.58,-9.09,90
20250930,ROC_Top20,000913,摩托车,910.4,6.3,90,20250930,17.07,20260213,15.41,18.24,6.85,-9.72,90
20250930,ROC_Top20,600012,路桥,816.7,4.4,90,20250930,13.33,20260213,14.15,15.9,19.28,6.15,90
20250930,ROC_Top20,603103,影视音像,757.7,2.1,90,20250930,18.36,20260213,34.9,40.45,120.32,90.09,90
20250930,ROC_Top20,002555,互联网,460.4,3.4,90,20250930,21.71,20260213,25.18,31.01,42.84,15.98,90
20250930,ROC_Top20,002052,家用电器,436.5,1.8,90,20250930,15.54,20260213,11.53,17.69,13.84,-25.8,90
20250930,ROC_Top20,600598,种植业,424.6,3.9,90,20250930,14.37,20260213,15.23,18.09,25.89,5.98,90
20250930,ROC_Top20,605499,软饮料,372.7,1.9,90,20250930,303.8,20260213,264.8,313.38,3.15,-12.84,90
20250930,ROC_Top20,002027,广告包装,337.3,2.8,90,20250930,8.06,20260213,7.28,8.32,3.23,-9.68,90
20250930,ROC_Top20,600825,出版业,269.7,0.6,90,20250930,6.76,20260213,6.61,7.62,12.72,-2.22,90
20250930,ROC_Top20,600684,区域地产,265.8,0.7,90,20250930,6.32,20260213,4.91,6.55,3.64,-22.31,90
20250930,ROC_Top20,002489,家居用品,259.0,9.5,90,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
20250930,ROC_Top20,688253,医疗保健,248.9,3.5,90,20250930,30.75,20260213,34.95,38.51,25.24,13.66,90
20250930,ROC_Top20,301551,影视音像,241.5,0.9,90,20250930,36.65,20260213,36.63,43.0,17.33,-0.05,90
20250930,ROC_Top20,600754,酒店餐饮,238.4,2.1,90,20250930,23.05,20260213,26.62,28.8,24.95,15.49,90
20250930,ROC_Top20,002602,互联网,3226.5,2.3,120,20250930,20.71,20260408,17.63,21.39,3.28,-14.87,120
20250930,ROC_Top20,301338,专用机械,2537.2,1.1,120,20250930,67.18,20260407,183.87,210.99,214.07,173.7,120
20250930,ROC_Top20,300972,食品,1946.0,3.8,120,20250930,181.5,20260407,196.77,240.89,32.72,8.41,120
20250930,ROC_Top20,000404,家用电器,1191.6,32.6,120,20250930,7.11,20260407,6.98,7.58,6.61,-1.83,120
20250930,ROC_Top20,002941,建筑工程,1180.2,2.2,120,20250930,16.12,20260407,15.29,21.61,34.06,-5.15,120
20250930,ROC_Top20,603883,医药商业,920.7,4.4,120,20250930,16.39,20260407,13.57,17.96,9.58,-17.21,120
20250930,ROC_Top20,000913,摩托车,910.4,6.3,120,20250930,17.07,20260407,14.37,18.24,6.85,-15.82,120
20250930,ROC_Top20,600012,路桥,816.7,4.4,120,20250930,13.33,20260407,14.45,15.9,19.28,8.4,120
20250930,ROC_Top20,603103,影视音像,757.7,2.1,120,20250930,18.36,20260407,22.27,40.45,120.32,21.3,120
20250930,ROC_Top20,002555,互联网,460.4,3.4,120,20250930,21.71,20260407,21.65,31.01,42.84,-0.28,120
20250930,ROC_Top20,002052,家用电器,436.5,1.8,120,20250930,15.54,20260407,10.09,17.69,13.84,-35.07,120
20250930,ROC_Top20,600598,种植业,424.6,3.9,120,20250930,14.37,20260407,16.33,18.35,27.7,13.64,120
20250930,ROC_Top20,605499,软饮料,372.7,1.9,120,20250930,303.8,20260407,198.04,313.38,3.15,-34.81,120
20250930,ROC_Top20,002027,广告包装,337.3,2.8,120,20250930,8.06,20260407,6.31,8.32,3.23,-21.71,120
20250930,ROC_Top20,600825,出版业,269.7,0.6,120,20250930,6.76,20260407,5.64,7.62,12.72,-16.57,120
20250930,ROC_Top20,600684,区域地产,265.8,0.7,120,20250930,6.32,20260407,4.65,6.55,3.64,-26.42,120
20250930,ROC_Top20,002489,家居用品,259.0,9.5,120,20250930,3.68,20260407,3.35,4.19,13.86,-8.97,120
20250930,ROC_Top20,688253,医疗保健,248.9,3.5,120,20250930,30.75,20260407,35.12,40.88,32.94,14.21,120
20250930,ROC_Top20,301551,影视音像,241.5,0.9,120,20250930,36.65,20260407,29.33,43.0,17.33,-19.97,120
20250930,ROC_Top20,600754,酒店餐饮,238.4,2.1,120,20250930,23.05,20260407,27.16,29.47,27.85,17.83,120
20250930,Magic_Top20,000797,全国地产,0.0,0.0,60,20250930,2.76,20251231,3.93,4.87,76.45,42.39,60
20250930,Magic_Top20,000810,家用电器,0.0,0.0,60,20250930,13.55,20251231,11.78,14.19,4.72,-13.06,60
20250930,Magic_Top20,000948,软件服务,0.0,0.0,60,20250930,18.33,20251231,17.95,18.81,2.62,-2.07,60
20250930,Magic_Top20,300213,通信设备,0.0,0.0,60,20250930,9.37,20251231,9.52,9.73,3.84,1.6,60
20250930,Magic_Top20,300612,广告包装,0.0,0.0,60,20250930,14.16,20251231,17.81,23.33,64.76,25.78,60
20250930,Magic_Top20,600178,汽车配件,0.0,0.0,60,20250930,12.83,20251231,12.79,14.0,9.12,-0.31,60
20250930,Magic_Top20,603978,小金属,0.0,0.0,60,20250930,23.16,20251231,28.24,39.82,71.93,21.93,60
20250930,Magic_Top20,688021,汽车配件,0.0,0.0,60,20250930,19.0,20251231,18.35,21.64,13.89,-3.42,60
20250930,Magic_Top20,688053,元器件,0.0,0.0,60,20250930,28.57,20251231,36.75,39.88,39.59,28.63,60
20250930,Magic_Top20,688237,航空,0.0,0.0,60,20250930,56.7,20260109,54.43,62.48,10.19,-4.0,60
20250930,Magic_Top20,688772,电气设备,0.0,0.0,60,20250930,23.79,20251231,21.53,29.18,22.66,-9.5,60
20250930,Magic_Top20,688601,半导体,0.1,0.0,60,20250930,43.24,20251231,42.59,53.5,23.73,-1.5,60
20250930,Magic_Top20,000797,全国地产,0.0,0.0,90,20250930,2.76,20260213,3.09,4.87,76.45,11.96,90
20250930,Magic_Top20,000810,家用电器,0.0,0.0,90,20250930,13.55,20260213,11.87,14.19,4.72,-12.4,90
20250930,Magic_Top20,000948,软件服务,0.0,0.0,90,20250930,18.33,20260213,17.22,19.42,5.95,-6.06,90
20250930,Magic_Top20,300213,通信设备,0.0,0.0,90,20250930,9.37,20260213,9.23,10.79,15.15,-1.49,90
20250930,Magic_Top20,300612,广告包装,0.0,0.0,90,20250930,14.16,20260213,18.31,25.36,79.1,29.31,90
20250930,Magic_Top20,600178,汽车配件,0.0,0.0,90,20250930,12.83,20260213,12.43,14.0,9.12,-3.12,90
20250930,Magic_Top20,603978,小金属,0.0,0.0,90,20250930,23.16,20260213,24.78,39.82,71.93,6.99,90
20250930,Magic_Top20,688021,汽车配件,0.0,0.0,90,20250930,19.0,20260213,23.9,24.39,28.37,25.79,90
20250930,Magic_Top20,688053,元器件,0.0,0.0,90,20250930,28.57,20260213,46.69,54.8,91.81,63.42,90
20250930,Magic_Top20,688237,航空,0.0,0.0,90,20250930,56.7,20260302,48.92,62.48,10.19,-13.72,90
20250930,Magic_Top20,688772,电气设备,0.0,0.0,90,20250930,23.79,20260213,18.76,29.18,22.66,-21.14,90
20250930,Magic_Top20,688601,半导体,0.1,0.0,90,20250930,43.24,20260213,50.8,57.92,33.95,17.48,90
20250930,Magic_Top20,000797,全国地产,0.0,0.0,120,20250930,2.76,20260407,2.77,4.87,76.45,0.36,120
20250930,Magic_Top20,000810,家用电器,0.0,0.0,120,20250930,13.55,20260407,10.88,14.19,4.72,-19.7,120
20250930,Magic_Top20,000948,软件服务,0.0,0.0,120,20250930,18.33,20260407,15.01,19.42,5.95,-18.11,120
20250930,Magic_Top20,300213,通信设备,0.0,0.0,120,20250930,9.37,20260407,7.64,10.79,15.15,-18.46,120
20250930,Magic_Top20,300612,广告包装,0.0,0.0,120,20250930,14.16,20260407,14.54,25.36,79.1,2.68,120
20250930,Magic_Top20,600178,汽车配件,0.0,0.0,120,20250930,12.83,20260407,11.09,14.0,9.12,-13.56,120
20250930,Magic_Top20,603978,小金属,0.0,0.0,120,20250930,23.16,20260407,23.53,39.82,71.93,1.6,120
20250930,Magic_Top20,688021,汽车配件,0.0,0.0,120,20250930,19.0,20260407,23.88,32.27,69.84,25.68,120
20250930,Magic_Top20,688053,元器件,0.0,0.0,120,20250930,28.57,20260407,34.5,54.8,91.81,20.76,120
20250930,Magic_Top20,688237,航空,0.0,0.0,120,20250930,56.7,20260414,54.36,62.48,10.19,-4.13,120
20250930,Magic_Top20,688772,电气设备,0.0,0.0,120,20250930,23.79,20260407,14.91,29.18,22.66,-37.33,120
20250930,Magic_Top20,688601,半导体,0.1,0.0,120,20250930,43.24,20260407,54.8,58.14,34.46,26.73,120
20260430,EY_Top20,000656,全国地产,850.1,231.6,60,20260430,1.4,20260730,1.19,1.53,9.29,-15.0,60
20260430,EY_Top20,000404,家用电器,126.3,40.7,60,20260430,8.28,20260729,7.74,10.01,20.89,-6.52,60
20260430,EY_Top20,600710,商贸代理,54.4,37.0,60,20260430,12.22,20260729,11.08,12.99,6.3,-9.33,60
20260430,EY_Top20,002091,商贸代理,57.4,34.3,60,20260430,8.95,20260729,7.74,9.8,9.5,-13.52,60
20260430,EY_Top20,000913,摩托车,129.9,33.2,60,20260430,13.5,20260729,11.36,13.64,1.04,-15.85,60
20260430,EY_Top20,002668,家用电器,764.4,28.4,60,20260430,9.55,20260729,10.59,11.36,18.95,10.89,60
20260430,EY_Top20,002582,食品,85.5,21.1,60,20260430,12.55,20260729,10.33,12.95,3.19,-17.69,60
20260430,EY_Top20,002612,服饰,194.2,15.3,60,20260430,16.09,20260729,14.22,17.0,5.66,-11.62,60
20260430,EY_Top20,002697,超市连锁,204.8,13.8,60,20260430,5.2,20260729,4.63,5.23,0.58,-10.96,60
20260430,EY_Top20,300360,电器仪表,78.2,13.1,60,20260430,14.47,20260729,12.27,15.24,5.32,-15.2,60
20260430,EY_Top20,002705,家用电器,31.8,12.6,60,20260430,15.13,20260729,11.5,15.12,-0.07,-23.99,60
20260430,EY_Top20,300641,化工原料,70.4,11.2,60,20260430,17.5,20260729,14.32,19.97,14.11,-18.17,60
